Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.86     0.00       11     0.00     0.00  intarith
  0.00      0.86     0.00       11     0.00     0.00  luaG_errormsg
  0.00      0.86     0.00       11     0.00     0.00  luaL_tolstring
  0.00      0.86     0.00       11     0.00     0.00  lua_pushinteger
  0.00      0.86     0.00       10     0.00     0.00  createmetatable
  0.00      0.86     0.00       10     0.00     0.00  luaB_costatus
  0.00      0.86     0.00       10     0.00     0.00  luaD_callnoyield
  0.00      0.86     0.00       10     0.00     0.00  luaL_getmetafield
  0.00      0.86     0.00       10     0.00     0.00  markupval
  0.00      0.86     0.00       10     0.00     0.00  searchupvalue
  0.00      0.86     0.00       10     0.00     0.00  traversethread
  0.00      0.86     0.00        9     0.00     0.00  adjustlocalvars
  0.00      0.86     0.00        9     0.00     0.00  leaveblock
  0.00      0.86     0.00        9     0.00     0.00  read_all
  0.00      0.86     0.00        8     0.00     0.00  exp1
  0.00      0.86     0.00        8     0.00     0.00  flt_new
  0.00      0.86     0.00        8     0.00     0.00  incomplete
  0.00      0.86     0.00        7     0.00     0.00  constfolding
  0.00      0.86     0.00        7     0.00     0.00  gc_collect
  0.00      0.86     0.00        7     0.00     0.00  luaU_undump
  0.00      0.86     0.00        7     0.00     0.00  move_finalizer
  0.00      0.86     0.00        7     0.00     0.00  read_numeral
  0.00      0.86     0.00        7     0.00     0.00  str_pack
  0.00      0.86     0.00        6     0.00     0.00  LoadProtos
  0.00      0.86     0.00        6     0.00     0.00  getbinopr
  0.00      0.86     0.00        6     0.00     0.00  luaH_free_set
  0.00      0.86     0.00        6     0.00     0.00  lua_pushboolean
  0.00      0.86     0.00        6     0.00     0.00  sort_comp
  0.00      0.86     0.00        6     0.00     0.00  traverseCclosure
  0.00      0.86     0.00        5     0.00     0.00  auxgetstr
  0.00      0.86     0.00        5     0.00     0.00  breaklabel
  0.00      0.86     0.00        5     0.00     0.00  call_gc
  0.00      0.86     0.00        5     0.00     0.00  collectargs
  0.00      0.86     0.00        5     0.00     0.00  errorlimit
  0.00      0.86     0.00        5     0.00     0.00  findgotos
  0.00      0.86     0.00        5     0.00     0.00  funcargs
  0.00      0.86     0.00        5     0.00     0.00  luaC_step
  0.00      0.86     0.00        5     0.00     0.00  luaK_codeABC
  0.00      0.86     0.00        5     0.00     0.00  luaK_patchclose
  0.00      0.86     0.00        5     0.00     0.00  lua_settable
  0.00      0.86     0.00        5     0.00     0.00  movegotosout
  0.00      0.86     0.00        5     0.00     0.00  pmain
  0.00      0.86     0.00        5     0.00     0.00  reallymarkobject
  0.00      0.86     0.00        5     0.00     0.00  runargs
  0.00      0.86     0.00        5     0.00     0.00  whilestat
  0.00      0.86     0.00        4     0.00     0.00  add_s
  0.00      0.86     0.00        4     0.00     0.00  add_value
  0.00      0.86     0.00        4     0.00     0.00  luaB_collectgarbage
  0.00      0.86     0.00        4     0.00     0.00  luaL_where
  0.00      0.86     0.00        4     0.00     0.00  luaX_init
  0.00      0.86     0.00        4     0.00     0.00  reverse
  0.00      0.86     0.00        4     0.00     0.00  setallfields
  0.00      0.86     0.00        4     0.00     0.00  setsvalue
  0.00      0.86     0.00        4     0.00     0.00  undefgoto
  0.00      0.86     0.00        3     0.00     0.00  assignment
  0.00      0.86     0.00        3     0.00     0.00  block
  0.00      0.86     0.00        3     0.00     0.00  dischargejpc
  0.00      0.86     0.00        3     0.00     0.00  getlocvar
  0.00      0.86     0.00        3     0.00     0.00  list_cache_clear
  0.00      0.86     0.00        3     0.00     0.00  luaK_codeABx
  0.00      0.86     0.00        3     0.00     0.00  luaL_addstring
